,edge,mean_bert_score
329,"('Soil_science', 'Earth')",0.3958757817745209
330,"('England', 'City')",0.3818081021308899
331,"('Drosophila_melanogaster', 'Gregor_Mendel')",0.47202056646347046
332,"('MINI_%28BMW%29', 'Mini')",0.6930655837059021
333,"('Biosphere', 'Climate')",0.4017523527145386
334,"('Cancer', 'Brain')",0.31321150064468384
335,"('Electricity', 'Thomas_Edison')",0.37788325548171997
336,"('Tropical_Storm_Lee_%282005%29', 'Tropical_cyclone')",0.6675252914428711
337,"('Optical_fiber', 'Microsoft')",0.19465982913970947
338,"('South_Africa', 'Ladysmith_Black_Mambazo')",0.35147836804389954
339,"('House', 'Family')",0.380094438791275
340,"('Washington%2C_D.C.', 'Chicago')",0.43831998109817505
341,"('American_Civil_War', 'Mississippi_River')",0.4349125027656555
342,"('Aberdeen', 'Education')",0.19134610891342163
343,"('China', 'Tiananmen_Square_protests_of_1989')",0.24069954454898834
344,"('Tower_of_London', 'St_Paul%27s_Cathedral')",0.5039605498313904
345,"('Income_disparity', 'United_Nations')",0.19642145931720734
346,"('Humanism', 'Philosophy')",0.5404892563819885
347,"('T._S._Eliot', 'Ezra_Pound')",0.43466854095458984
348,"('Soil_structure', 'Soil_salination')",0.6417404413223267
349,"('Rugby_football', 'North_America')",0.3823240101337433
350,"('Orion_Nebula', 'H_II_region')",0.2464917004108429
351,"('Toronto', 'Miami%2C_Florida')",0.42555442452430725
352,"('Thallium', 'Ant')",0.24950559437274933
353,"('Nicaragua', 'Coffee')",0.34554004669189453
354,"('M25_motorway', 'Double-decker_bus')",0.4258899390697479
355,"('Meteorology', 'Number')",0.13029745221138
356,"('Christmas_Island', 'Australia')",0.33211079239845276
357,"('Folk_music', 'Church_of_Ireland')",0.3372984528541565
358,"('Anno_Domini', 'Christianity')",0.18151691555976868
359,"('PRR_GG1', 'Pennsylvania_Railroad')",0.25427675247192383
360,"('Kazakhstan', 'Europe')",0.5161690711975098
361,"('Dam', 'Flood')",0.4255889356136322
362,"('Invasion_of_Grenada', 'United_States')",0.30896133184432983
363,"('Missouri_River', '18th_century')",0.2667318284511566
364,"('South_Africa', 'History_of_South_Africa_in_the_apartheid_era')",0.47440779209136963
365,"('Ancient_Greece', 'Istanbul')",0.38089290261268616
366,"('Pink_Pigeon', 'Mauritius')",0.1426897644996643
367,"('Allosaurus', 'Diplodocus')",0.45112738013267517
368,"('1896_Summer_Olympics', 'Baseball')",0.28501197695732117
369,"('Namibia', 'Zambia')",0.7562869191169739
370,"('Book', '20th_century')",0.1868741363286972
